transaction_id,transaction_date,transaction_time,transaction_type,item_code,item_name,category,subcategory,supplier_name,po_reference,invoice_reference,lot_number,quantity,unit,unit_cost,total_cost,location,recorded_by,expiration_date,notes
TXN-100014,2026-06-01,10:13,transfer,BEV-1003,House Red Wine,Beverage,Wine,BevCo Beverage Distribution,,,,3.0,case (12x750ml),99.27,297.81,Dry Storage Room,R. Patel,,Transferred to Main Kitchen Cooler
TXN-100015,2026-06-01,06:37,stock_in,PRD-5521,"Free-Range Eggs, Large",Dairy,Eggs,Dairy Fresh Cooperative,PO-40107,INV-58172,LOT-260601-90,5.0,case,47.46,237.3,Main Kitchen Cooler,D. Alvarez,2026-06-29,
TXN-100016,2026-06-01,07:46,stock_in,BEV-1001,"Cola Syrup, 5 Gal BIB",Beverage,Soft Drinks,BevCo Beverage Distribution,PO-40584,INV-58348,LOT-260601-70,8.0,each,62.7,501.6,Bar Storage,L. Kim,2026-11-28,
TXN-100017,2026-06-01,16:06,stock_out,PRD-2207,Yukon Gold Potatoes,Produce,Root Vegetables,Green Valley Produce Co.,,,,-1.0,sack,29.02,-29.02,Dry Storage Room,L. Kim,,
TXN-100018,2026-06-01,07:17,stock_in,PRD-9901,Sourdough Loaf,Bakery,Bread,Sunrise Bakery Supply,PO-40177,INV-58553,LOT-260601-80,4.0,each,3.97,15.88,Dry Storage Room,D. Alvarez,2026-06-04,Short delivery vs PO — see delivery receipt
TXN-100019,2026-06-02,11:13,stock_out,PRD-3315,Heavy Cream 40%,Dairy,Cream & Milk,Dairy Fresh Cooperative,,,,-13.04,gal,10.38,-135.36,Main Kitchen Cooler,J. Nguyen,,
TXN-100020,2026-06-02,17:46,stock_in,PRD-9902,Brioche Burger Buns,Bakery,Bread,Sunrise Bakery Supply,PO-40835,INV-58598,LOT-260602-29,8.0,case (48ct),28.75,230.0,Dry Storage Room,J. Nguyen,2026-06-07,
TXN-100021,2026-06-02,11:32,stock_in,PRD-2207,Yukon Gold Potatoes,Produce,Root Vegetables,Green Valley Produce Co.,PO-40158,INV-58620,LOT-260602-20,7.0,sack,28.14,196.98,Dry Storage Room,L. Kim,2026-06-23,
TXN-100022,2026-06-02,14:02,stock_in,PRD-2213,Avocados,Produce,Fruit,Green Valley Produce Co.,PO-40697,INV-58678,LOT-260602-76,5.0,case,36.03,180.15,Main Kitchen Cooler,M. Osei,2026-06-07,
TXN-100023,2026-06-02,18:59,stock_out,PRD-7704,"Bacon, Sliced",Meat,Pork,Metro Meat & Poultry,,,,-1.55,lb,7.15,-11.08,Main Kitchen Cooler,C. Romero,,
TXN-100024,2026-06-02,09:56,stock_in,PRD-7701,"Chicken Breast, Boneless",Meat,Poultry,Metro Meat & Poultry,PO-40391,INV-58261,LOT-260602-66,4.61,lb,4.65,21.44,Main Kitchen Cooler,L. Kim,2026-06-06,
TXN-100025,2026-06-02,16:06,stock_in,BEV-1005,"Draft Beer Keg, Lager",Beverage,Beer,BevCo Beverage Distribution,PO-40218,INV-58209,LOT-260602-80,8.0,keg,136.52,1092.16,Bar Storage,J. Nguyen,2026-07-17,
TXN-100026,2026-06-02,08:57,stock_out,PRD-7701," Chicken Breast, Boneless ",Meat,Poultry,Metro Meat & Poultry,,,,-13.67,lb,4.5,-61.52,Main Kitchen Cooler,T. Fischer,,
TXN-100027,2026-06-02,08:10,stock_out,PRD-4410,Organic Baby Spinach,Produce,Leafy Greens,Green Valley Produce Co.,,,,-3.0,case,14.32,-42.96,Main Kitchen Cooler,R. Patel,,
TXN-100028,2026-06-02,20:23,stock_out,PRD-2212,"Bell Peppers, Mixed",Produce,Vegetables,Green Valley Produce Co.,,,,-3.0,CASE,25.76,-77.28,Main Kitchen Cooler,J. Nguyen,,
TXN-100029,2026-06-02,08:43,transfer,PRD-1104,Sea Scallops U-10,Seafood,Shellfish,Harborline Seafood Distributors,,,,2.25,lb,21.97,49.43,Dry Storage Room,C. Romero,,Transferred to Walk-In Freezer
TXN-100030,2026-06-03,18:11,adjustment,PRD-3315,Heavy Cream 40%,Dairy,Cream & Milk,Dairy Fresh Cooperative,,,,2.29,gal,9.01,20.63,Main Kitchen Cooler,T. Fischer,,Recount after audit
TXN-100031,2026-06-03,18:44,stock_in,PRD-6634,Unsalted Butter,Dairy,Butter,Dairy Fresh Cooperative,PO-40581,INV-58327,LOT-260603-35,2.0,block,125.98,251.96,Main Kitchen Cooler,L. Kim,2026-07-18,
TXN-100032,2026-06-03,08:55,stock_out,PRD-3317,Shredded Mozzarella,Dairy,Cheese,Dairy Fresh Cooperative,,,,-1.51,lb,5.84,-8.82,Main Kitchen Cooler,M. Osei,,
TXN-100033,2026-06-03,06:07,stock_out,BEV-1004,House White Wine,Beverage,Wine,BevCo Beverage Distribution,,,,-4.0,case (12x750ml),86.56,-346.24,Bar Storage,C. Romero,,
TXN-100034,2026-06-03,18:20,stock_out,PRD-8807,Dried Penne Pasta,Dry Goods,Grains,Pantry Staples Wholesale,,,,-2.0,case (12x1lb),21.33,-42.66,Dry Storage Room,D. Alvarez,,
TXN-100035,2026-06-03,18:34,stock_in,PRD-8807,Dried Penne Pasta,Dry Goods,Grains,Pantry Staples Wholesale,PO-40854,INV-58786,LOT-260603-35,6.0,case (12x1lb),21.19,127.14,Dry Storage Room,M. Osei,2028-06-02,
TXN-100036,2026-06-03,08:32,stock_out,PRD-2211,"Garlic, Peeled",Produce,Aromatics,Green Valley Produce Co.,,,,-4.98,lb,6.31,-31.42,Main Kitchen Cooler,R. Patel,,
TXN-100037,2026-06-03,07:39,stock_out,PRD-8804,"Olive Oil, Extra Virgin",Dry Goods,Oils,Pantry Staples Wholesale,,,,-3.0,CASE (6X1L),57.13,-171.39,Dry Storage Room,L. Kim,,
TXN-100038,2026-06-03,09:29,stock_out,PRD-2214,Lemons,Produce,Fruit,Green Valley Produce Co.,,,,-2.0,case,29.81,-59.62,Main Kitchen Cooler,C. Romero,,
TXN-100039,2026-06-03,08:32,stock_out,PRD-3315,Heavy Cream 40%,Dairy,Cream & Milk,Dairy Fresh Cooperative,,,,-10.13,gal,9.94,-100.69,Main Kitchen Cooler,D. Alvarez,,
TXN-100040,2026-06-03,07:01,waste,PRD-5521,"Free-Range Eggs, Large",Dairy,Eggs,Dairy Fresh Cooperative,,,,-1.0,case,50.42,-50.42,Main Kitchen Cooler,C. Romero,,Quality reject
TXN-100041,2026-06-04,10:31,stock_out,PRD-3317,Shredded Mozzarella,Dairy,Cheese,Dairy Fresh Cooperative,,,,-6.29,LB,5.28,-33.21,Main Kitchen Cooler,T. Fischer,,
TXN-100042,2026-06-04,08:11,waste,PRD-2210,Romaine Lettuce,Produce,Leafy Greens,Green Valley Produce Co.,,,,-2.0,case,25.53,-51.06,Main Kitchen Cooler,R. Patel,,Spoilage
TXN-100043,2026-06-04,16:33,waste,PRD-4410,Organic Baby Spinach,Produce,Leafy Greens,Green Valley Produce Co.,,,,-2.0,case,14.42,-28.84,Main Kitchen Cooler,L. Kim,,Expired
TXN-100044,2026-06-04,07:47,stock_out,BEV-1005,"Draft Beer Keg, Lager",Beverage,Beer,BevCo Beverage Distribution,,,,-4.0,keg,143.84,-575.36,Bar Storage,L. Kim,,
TXN-100045,2026-06-04,08:17,stock_out,BEV-1003,House Red Wine,Beverage,Wine,BevCo Beverage Distribution,,,,-2.0,case (12x750ml),99.28,-198.56,Bar Storage,J. Nguyen,,
TXN-100046,2026-06-04,10:44,stock_in,PRD-4410,Organic Baby Spinach,Produce,Leafy Greens,Green Valley Produce Co.,PO-40524,INV-58517,LOT-260604-52,2.0,case,13.55,27.1,Main Kitchen Cooler,C. Romero,2026-06-09,
TXN-100047,2026-06-04,18:36,transfer,PRD-1103,"Jumbo Shrimp, Peeled",Seafood,Shellfish,Harborline Seafood Distributors,,,,2.9,lb,15.85,45.96,Dry Storage Room,M. Osei,,Transferred to Walk-In Freezer
TXN-100048,2026-06-04,08:31,waste,BEV-1004,House White Wine,Beverage,Wine,BevCo Beverage Distribution,,,,-1.0,case (12x750ml),89.08,-89.08,Bar Storage,D. Alvarez,,Expired
TXN-100049,2026-06-04,07:39,waste,PRD-3315,Heavy Cream 40%,Dairy,Cream & Milk,Dairy Fresh Cooperative,,,,-2.76,gal,10.38,-28.65,Main Kitchen Cooler,C. Romero,,Over-prepped
TXN-100050,2026-06-04,08:24,stock_in,PRD-9902, Brioche Burger Buns ,Bakery,Bread,Sunrise Bakery Supply,PO-40445,INV-58879,LOT-260604-58,3.0,case (48ct),28.29,84.87,Dry Storage Room,M. Osei,2026-06-09,
TXN-100051,2026-06-04,09:14,stock_in,BEV-1004,House White Wine,Beverage,Wine,BevCo Beverage Distribution,PO-40767,INV-58141,LOT-260604-13,6.0,case (12x750ml),94.05,564.3,Bar Storage,J. Nguyen,2028-06-03,Received in good condition
TXN-100052,2026-06-04,11:44,adjustment,PRD-2213,Avocados,Produce,Fruit,Green Valley Produce Co.,,,,-1.46,case,35.73,-52.17,Main Kitchen Cooler,C. Romero,,Cycle count correction
TXN-100053,2026-06-04,08:36,stock_in,PRD-2214,Lemons,Produce,Fruit,Green Valley Produce Co.,PO-40506,INV-58832,LOT-260604-35,6.0,case,31.13,186.78,Main Kitchen Cooler,D. Alvarez,2026-06-18,
TXN-100054,2026-06-04,18:36,waste,PRD-7706,Duck Breast,Meat,Poultry,Metro Meat & Poultry,,,,-3.96,lb,13.27,-52.55,Main Kitchen Cooler,R. Patel,,Damaged in delivery
TXN-100055,2026-06-04,07:27,waste,PRD-8806,Basmati Rice,Dry Goods,Grains,Pantry Staples Wholesale,,,,-2.0,25lb bag,28.35,-56.7,Dry Storage Room,L. Kim,,Expired
TXN-100056,2026-06-04,13:49,stock_out,PRD-7702,Ground Beef 80/20,Meat,Beef,Metro Meat & Poultry,,,,-7.51,lb,5.89,-44.23,Main Kitchen Cooler,T. Fischer,,
TXN-100057,2026-06-04,11:15,stock_in,PRD-2209,Yellow Onions,Produce,Root Vegetables,Green Valley Produce Co.,PO-40784,INV-58488,LOT-260604-53,6.0,sack,18.71,112.26,Dry Storage Room,D. Alvarez,2026-07-04,
TXN-100058,2026-06-05,08:35,stock_out,PRD-7706,Duck Breast,Meat,Poultry,Metro Meat & Poultry,,,,-0.65,lb,14.57,-9.47,Main Kitchen Cooler,D. Alvarez,,
TXN-100059,2026-06-05,16:45,stock_out,PRD-6634,Unsalted Butter,Dairy,Butter,Dairy Fresh Cooperative,,,,-2.0,block,124.47,-248.94,Main Kitchen Cooler,D. Alvarez,,
TXN-100060,2026-06-05,13:33,stock_out,PRD-2214,Lemons,Produce,Fruit,Green Valley Produce Co.,,,,-2.0,case,31.3,-62.6,Main Kitchen Cooler,C. Romero,,
TXN-100061,2026-06-05,17:12,stock_in,PRD-7701,"Chicken Breast, Boneless",Meat,Poultry,Metro Meat & Poultry,PO-40880,INV-58806,LOT-260605-33,13.99,lb,5.04,70.51,Main Kitchen Cooler,J. Nguyen,2026-06-09,
TXN-100062,2026-06-05,20:12,adjustment,PRD-7703,Pork Tenderloin,Meat,Pork,Metro Meat & Poultry,,,,-1.22,lb,6.6,-8.05,Main Kitchen Cooler,M. Osei,,Cycle count correction
TXN-100063,2026-06-05,17:08,stock_out,PRD-2207,Yukon Gold Potatoes,Produce,Root Vegetables,Green Valley Produce Co.,,,,-3.0,sack,29.13,-87.39,Dry Storage Room,D. Alvarez,,
TXN-100064,2026-06-05,06:16,stock_out,PRD-9901,Sourdough Loaf,Bakery,Bread,Sunrise Bakery Supply,,,,-4.0,EACH,3.74,-14.96,Dry Storage Room,L. Kim,,
TXN-100065,2026-06-05,18:36,stock_in,PRD-2207,Yukon Gold Potatoes,Produce,Root Vegetables,Green Valley Produce Co.,PO-40354,INV-58221,LOT-260605-81,8.0,sack,26.14,209.12,Dry Storage Room,L. Kim,2026-06-26,
TXN-100066,2026-06-05,14:27,stock_in,PRD-9901,Sourdough Loaf,Bakery,Bread,Sunrise Bakery Supply,PO-40724,INV-58857,LOT-260605-22,3.0,each,3.82,11.46,Dry Storage Room,L. Kim,2026-06-08,
TXN-100067,2026-06-05,10:28,stock_in,PRD-2208,Roma Tomatoes,Produce,Vegetables,Green Valley Produce Co.,PO-40133,INV-58337,LOT-260605-46,6.0,CASE,31.85,191.1,Main Kitchen Cooler,T. Fischer,2026-06-12,
TXN-100068,2026-06-05,08:27,stock_out,PRD-2214,Lemons,Produce,Fruit,Green Valley Produce Co.,,,,-1.0,case,27.72,-27.72,Main Kitchen Cooler,J. Nguyen,,
TXN-100069,2026-06-05,14:47,waste,PRD-3315,Heavy Cream 40%,Dairy,Cream & Milk,Dairy Fresh Cooperative,,,,-4.16,gal,10.41,-43.31,Main Kitchen Cooler,R. Patel,,Spoilage
TXN-100070,2026-06-05,11:28,stock_out,PRD-7702,Ground Beef 80/20,Meat,Beef,Metro Meat & Poultry,,,,-1.67,lb,5.51,-9.2,Main Kitchen Cooler,R. Patel,,
TXN-100071,2026-06-05,20:55,adjustment,PRD-5521,"Free-Range Eggs, Large",Dairy,Eggs,Dairy Fresh Cooperative,,,,0.45,case,50.18,22.58,Main Kitchen Cooler,L. Kim,,Recount after audit
TXN-100072,2026-06-05,08:11,stock_out,BEV-1003,House Red Wine,Beverage,Wine,BevCo Beverage Distribution,,,,-4.0,case (12x750ml),95.02,-380.08,Bar Storage,L. Kim,,
TXN-100073,2026-06-05,07:54,stock_out,PRD-8801,All-Purpose Flour,Dry Goods,Baking,Pantry Staples Wholesale,,,,-1.0,50lb bag,21.69,-21.69,Dry Storage Room,R. Patel,,
TXN-100074,2026-06-05,07:20,stock_in,BEV-1005,"Draft Beer Keg, Lager",Beverage,Beer,BevCo Beverage Distribution,PO-40891,INV-58513,LOT-260605-75,3.0,keg,136.09,408.27,Bar Storage,L. Kim,2026-07-20,
TXN-100075,2026-06-05,11:40,stock_out,PRD-8803,Kosher Salt,Dry Goods,Seasoning,Pantry Staples Wholesale,,,,-2.0,25lb bag,10.21,-20.42,Dry Storage Room,M. Osei,,
TXN-100076,2026-06-06,16:38,stock_in,BEV-1001,"Cola Syrup, 5 Gal BIB",Beverage,Soft Drinks,BevCo Beverage Distribution,PO-40418,INV-58664,LOT-260606-11,7.0,each,64.08,448.56,Bar Storage,C. Romero,2026-12-03,
TXN-100077,2026-06-06,17:18,stock_out,PRD-2212,"Bell Peppers, Mixed",Produce,Vegetables,Green Valley Produce Co.,,,,-3.0,case,26.31,-78.93,Main Kitchen Cooler,L. Kim,,
TXN-100078,2026-06-06,14:32,stock_out,PRD-2212,"Bell Peppers, Mixed",Produce,Vegetables,Green Valley Produce Co.,,,,-3.0,case,25.71,-77.13,Main Kitchen Cooler,D. Alvarez,,
TXN-100079,2026-06-06,06:18,stock_in,BEV-1002,Sparkling Water Cans,Beverage,Water,BevCo Beverage Distribution,PO-40693,INV-58775,LOT-260606-72,6.0,case (24ct),15.18,91.08,Bar Storage,L. Kim,2027-06-06,
TXN-100080,2026-06-06,20:12,adjustment,PRD-9902,Brioche Burger Buns,Bakery,Bread,Sunrise Bakery Supply,,,,2.88,case (48ct),27.31,78.65,Dry Storage Room,R. Patel,,System entry error
TXN-100081,2026-06-06,18:24,stock_out,PRD-9903,"Croissants, Unbaked Frozen",Bakery,Pastry,Sunrise Bakery Supply,,,,-2.0,case (72ct),65.68,-131.36,Walk-In Freezer,L. Kim,,
TXN-100082,2026-06-06,14:21,stock_out,PRD-4410, Organic Baby Spinach ,Produce,Leafy Greens,Green Valley Produce Co.,,,,-4.0,CASE,15.05,-60.2,Main Kitchen Cooler,R. Patel,,
TXN-100083,2026-06-06,16:09,stock_out,PRD-2212,"Bell Peppers, Mixed",Produce,Vegetables,Green Valley Produce Co.,,,,-1.0,case,28.53,-28.53,Main Kitchen Cooler,M. Osei,,
TXN-100084,2026-06-06,20:34,transfer,PRD-8801,All-Purpose Flour,Dry Goods,Baking,Pantry Staples Wholesale,,,,2.0,50lb bag,22.45,44.9,Bar Storage,L. Kim,,Transferred to Walk-In Freezer
TXN-100085,2026-06-06,17:05,adjustment,PRD-7703,Pork Tenderloin,Meat,Pork,Metro Meat & Poultry,,,,-0.4,lb,6.32,-2.53,Main Kitchen Cooler,T. Fischer,,Cycle count correction
TXN-100086,2026-06-06,06:18,stock_out,PRD-1104,Sea Scallops U-10,Seafood,Shellfish,Harborline Seafood Distributors,,,,-5.7,lb,22.25,-126.83,Main Kitchen Cooler,J. Nguyen,,
TXN-100087,2026-06-06,14:55,stock_in,PRD-3315,Heavy Cream 40%,Dairy,Cream & Milk,Dairy Fresh Cooperative,PO-40609,INV-58697,LOT-260606-28,16.54,gal,10.04,166.06,Main Kitchen Cooler,,2026-06-16,
TXN-100088,2026-06-06,07:04,stock_out,PRD-7703,Pork Tenderloin,Meat,Pork,Metro Meat & Poultry,,,,-6.91,lb,6.58,-45.47,Main Kitchen Cooler,C. Romero,,
TXN-100089,2026-06-06,08:24,waste,PRD-9902,Brioche Burger Buns,Bakery,Bread,Sunrise Bakery Supply,,,,-2.0,case (48ct),26.71,-53.42,Dry Storage Room,R. Patel,,Over-prepped
TXN-100090,2026-06-06,16:25,adjustment,PRD-1103,"Jumbo Shrimp, Peeled",Seafood,Shellfish,Harborline Seafood Distributors,,,,-1.35,lb,14.96,-20.2,Main Kitchen Cooler,T. Fischer,,Cycle count correction
TXN-100091,2026-06-06,08:38,waste,PRD-7703,Pork Tenderloin,Meat,Pork,Metro Meat & Poultry,,,,-4.05,lb,6.45,-26.12,Main Kitchen Cooler,J. Nguyen,,Over-prepped
TXN-100092,2026-06-06,16:41,stock_out,PRD-4410,Organic Baby Spinach,Produce,Leafy Greens,Green Valley Produce Co.,,,,-1.0,case,14.86,-14.86,Main Kitchen Cooler,D. Alvarez,,
TXN-100093,2026-06-06,10:11,stock_out,PRD-7703,Pork Tenderloin,Meat,Pork,Metro Meat & Poultry,,,,-3.41,lb,7.06,-24.07,Main Kitchen Cooler,M. Osei,,
TXN-100094,2026-06-06,11:51,transfer,PRD-7701,"Chicken Breast, Boneless",Meat,Poultry,Metro Meat & Poultry,,,,2.48,lb,5.09,12.62,Bar Storage,R. Patel,,Transferred to Bar Storage
TXN-100095,2026-06-06,18:35,adjustment,PRD-8805,Canola Oil,Dry Goods,Oils,Pantry Staples Wholesale,,,,-0.81,case (4x1gal),43.95,-35.6,Dry Storage Room,D. Alvarez,,Recount after audit
TXN-100096,2026-06-06,20:40,stock_out,PRD-7701,"Chicken Breast, Boneless",Meat,Poultry,Metro Meat & Poultry,,,,-14.13,lb,4.55,-64.29,Main Kitchen Cooler,J. Nguyen,,
TXN-100097,2026-06-06,08:41,transfer,PRD-7705,NY Strip Steak,Meat,Beef,Metro Meat & Poultry,,,,1.32,LB,16.41,21.66,Prep Station Fridge,M. Osei,,Transferred to Walk-In Freezer
TXN-100098,2026-06-06,08:56,stock_in,BEV-1001,"Cola Syrup, 5 Gal BIB",Beverage,Soft Drinks,BevCo Beverage Distribution,PO-40479,INV-58786,LOT-260606-99,5.0,each,60.9,304.5,Bar Storage,C. Romero,2026-12-03,
TXN-100099,2026-06-06,08:02,stock_out,BEV-1001,"Cola Syrup, 5 Gal BIB",Beverage,Soft Drinks,BevCo Beverage Distribution,,,,-3.0,each,59.2,-177.6,Bar Storage,R. Patel,,
TXN-100100,2026-06-06,16:22,stock_out,PRD-8803,Kosher Salt,Dry Goods,Seasoning,Pantry Staples Wholesale,,,,-1.0,25lb bag,10.61,-10.61,Dry Storage Room,D. Alvarez,,
TXN-100101,2026-06-07,06:50,adjustment,PRD-7706,Duck Breast,Meat,Poultry,Metro Meat & Poultry,,,,-1.0,LB,14.66,-14.66,Main Kitchen Cooler,L. Kim,,System entry error
TXN-100102,2026-06-07,08:21,waste,PRD-3318,Parmesan Wheel,Dairy,Cheese,Dairy Fresh Cooperative,,,,-3.92,lb,13.5,-52.92,Main Kitchen Cooler,C. Romero,,Spoilage
TXN-100103,2026-06-07,07:07,stock_in,BEV-1004,House White Wine,Beverage,Wine,BevCo Beverage Distribution,PO-40115,INV-58466,LOT-260607-40,6.0,CASE (12X750ML),83.17,499.02,Bar Storage,C. Romero,2028-06-06,
TXN-100104,2026-06-07,18:23,stock_out,PRD-2208,Roma Tomatoes,Produce,Vegetables,Green Valley Produce Co.,,,,-3.0,case,30.0,-90.0,Main Kitchen Cooler,C. Romero,,
TXN-100105,2026-06-07,16:01,stock_out,BEV-1003,House Red Wine,Beverage,Wine,BevCo Beverage Distribution,,,,-1.0,case (12x750ml),95.68,-95.68,Bar Storage,R. Patel,,
TXN-100106,2026-06-07,07:20,stock_in,PRD-9901,Sourdough Loaf,Bakery,Bread,Sunrise Bakery Supply,PO-40381,INV-58739,LOT-260607-91,5.0,each,3.49,17.45,Dry Storage Room,C. Romero,2026-06-10,
TXN-100107,2026-06-07,18:44,stock_out,PRD-7706,Duck Breast,Meat,Poultry,Metro Meat & Poultry,,,,-2.16,lb,13.94,-30.11,Main Kitchen Cooler,L. Kim,,
TXN-100108,2026-06-07,20:29,stock_out,PRD-5521,"Free-Range Eggs, Large",Dairy,Eggs,Dairy Fresh Cooperative,,,,-2.0,case,48.52,-97.04,Main Kitchen Cooler,M. Osei,,
TXN-100109,2026-06-07,11:04,stock_out,PRD-2212,"Bell Peppers, Mixed",Produce,Vegetables,Green Valley Produce Co.,,,,-1.0,CASE,25.49,-25.49,Main Kitchen Cooler,R. Patel,,
TXN-100110,2026-06-07,13:35,stock_in,BEV-1005,"Draft Beer Keg, Lager",Beverage,Beer,BevCo Beverage Distribution,PO-40462,INV-58781,LOT-260607-64,3.0,keg,136.24,408.72,Bar Storage,L. Kim,2026-07-22,
TXN-100111,2026-06-07,16:30,stock_in,BEV-1002,Sparkling Water Cans,Beverage,Water,BevCo Beverage Distribution,PO-40669,INV-58476,LOT-260607-24,3.0,case (24ct),13.5,40.5,Bar Storage,L. Kim,2027-06-07,
TXN-100112,2026-06-07,16:35,stock_out,PRD-1105,"Mussels, Live",Seafood,Shellfish,Harborline Seafood Distributors,,,,-0.88,lb,6.31,-5.55,Main Kitchen Cooler,,,
TXN-100113,2026-06-07,09:00,transfer,PRD-7704,"Bacon, Sliced",Meat,Pork,Metro Meat & Poultry,,,,1.91,lb,7.28,13.9,Walk-In Freezer,R. Patel,,Transferred to Bar Storage
TXN-100114,2026-06-07,10:29,stock_in,BEV-1003,House Red Wine,Beverage,Wine,BevCo Beverage Distribution,PO-40838,INV-58432,LOT-260607-82,3.0,case (12x750ml),94.0,282.0,Bar Storage,C. Romero,2028-06-06,
TXN-100115,2026-06-07,10:31,stock_out,PRD-7702,Ground Beef 80/20,Meat,Beef,Metro Meat & Poultry,,,,-9.3,lb,5.87,-54.59,Main Kitchen Cooler,J. Nguyen,,
TXN-100116,2026-06-07,14:31,stock_out,PRD-7703, Pork Tenderloin ,Meat,Pork,Metro Meat & Poultry,,,,-8.14,lb,6.54,-53.24,Main Kitchen Cooler,J. Nguyen,,
TXN-100117,2026-06-07,18:08,adjustment,PRD-7704,"Bacon, Sliced",Meat,Pork,Metro Meat & Poultry,,,,1.58,lb,6.96,11.0,Main Kitchen Cooler,D. Alvarez,,Cycle count correction
TXN-100118,2026-06-08,20:42,stock_out,PRD-5521,"Free-Range Eggs, Large",Dairy,Eggs,Dairy Fresh Cooperative,,,,-3.0,case,43.6,-130.8,Main Kitchen Cooler,L. Kim,,
TXN-100119,2026-06-08,14:27,transfer,PRD-2208,Roma Tomatoes,Produce,Vegetables,Green Valley Produce Co.,,,,2.0,case,30.92,61.84,Prep Station Fridge,R. Patel,,Transferred to Bar Storage
TXN-100120,2026-06-08,09:05,waste,PRD-9902,Brioche Burger Buns,Bakery,Bread,Sunrise Bakery Supply,,,,-1.0,case (48ct),26.7,-26.7,Dry Storage Room,R. Patel,,Over-prepped
TXN-100121,2026-06-08,18:10,stock_in,PRD-8801,All-Purpose Flour,Dry Goods,Baking,Pantry Staples Wholesale,PO-40643,INV-58622,LOT-260608-34,2.0,50lb bag,22.47,44.94,Dry Storage Room,L. Kim,2027-06-08,
TXN-100122,2026-06-08,07:38,stock_in,PRD-2212,"Bell Peppers, Mixed",Produce,Vegetables,Green Valley Produce Co.,PO-40177,INV-58281,LOT-260608-90,2.0,case,28.43,56.86,Main Kitchen Cooler,R. Patel,2026-06-17,
TXN-100123,2026-06-08,16:20,stock_out,PRD-1105,"Mussels, Live",Seafood,Shellfish,Harborline Seafood Distributors,,,,-2.69,lb,5.49,-14.77,Main Kitchen Cooler,R. Patel,,
